Item Name,Selling,M.R.P,Total Stock
AACHI CHETTINADU BIRIYANI MASALA 12/-,11,12,0
AACHI CHETTINADU BIRIYANI MASALA 50G,29,32,0
AACHI CHICKEN 65 MASALA 100G,52,60,24
AACHI CHICKEN 65 MASALA 50G,27,30,33
AACHI CHICKEN CHILLI MASALA 50G,27,30,21
AACHI CHICKEN MASALA 100G,49,55,15
AACHI CHICKEN MASALA 50G,25,28,19
AACHI CHILLI POWDER 100G,40,48,5
AACHI CHILLI POWDER 200G,84,94,0
AACHI CHILLI POWDER 500GM,180,235,11
AACHI CHILLI POWDER 50G,20,25,26
AACHI CHUKKU COFFEE 200G,90,95,1
AACHI CITRON PICKLE 200GM(1+1),72,75,5
AACHI CITRON PICKLE 300GM,76,80,3
AACHI CITRON PICKLE 500G,87,90,0
AACHI CITRON PICKLE 60G,9.83,10,43
AACHI COMPOUNDED ASAFOETIDA 50G,75,78,4
AACHI CORIANDER POWDER 100G,24,29,20
AACHI CORIANDER POWDER 200G,49,57,5
AACHI CORIANDER POWDER 500G,120,142,11
AACHI CORIANDER POWDER 50G,13.5,15,27
AACHI CORRIANDER RICE PASTE 200G,80.75,85,13
AACHI CUMIN POWDER 50G,23,29,14
AACHI CURRY LEAF RICE PASTE 200GMS(1+1),80.75,85,12
AACHI CURRY MASALA 100G,44,52,0
AACHI CURRY MASALA 50G,24,27,29
AACHI CUT MANGO PICKLE 100G,19,20,0
AACHI CUT MANGO PICKLE 200GM(1+1),71.25,75,31
AACHI CUT MANGO PICKLE 300GM,76,80,4
AACHI CUT MANGO PICKLE 500G,87,90,2
AACHI CUTMANGO PICKLE 60G,9.83,10,17
AACHI DHAL RICE POWDER 100G,35,42,5
AACHI DINDIGUL BIRIYANI SERAGA SAMBA RICE ,123,125,0
AACHI DINDUGAL BIRIYANI MASALA 12/-,11,12,1
AACHI DINDUGAL BIRIYANI MASALA 50G,29,32,2
AACHI DRY GINGER POWDER 50G,33.25,35,0
AACHI DRY MANGO POWDER 50G,33.25,35,0
AACHI EGG MASALA 50G,27.5,31,15
AACHI FENUGREEK POWDER 50G,34,35,0
AACHI FISH CURRY MASALA 50G,23,26,36
AACHI FISH FRY MASALA 50G,23,26,20
AACHI FRIED CHICKEN MIX 50G,27,35,0
AACHI GARAM MASALA 100G,61,68,2
AACHI GARAM MASALA 50G,31,35,26
AACHI GARLIC DHAL POWDER 100G,41,46,8
AACHI GARLIC PICKLE 100G,19,20,0
AACHI GARLIC PICKLE 200GM(1+1),71.25,75,44
AACHI GARLIC PICKLE 300G,85.5,90,3
AACHI GARLIC PICKLE 500G,93,95,5
AACHI GARLIC PICKLE 50G,9.83,10,12
AACHI GINGER GARLIC PASTE 100GMS,28.5,30,39
AACHI GINGER GARLIC PASTE 200GMS,37,39,23
AACHI GINGER GARLIC PASTE 300G,66,70,8
AACHI GINGER GARLIC PASTE 5/-,5,5,0
AACHI GINGER GARLIC PASTE RS.10,9.5,10,16
AACHI GINGER PICKLE 200GM(1+1),71.25,75,14
AACHI GOBI MANCHURIAN MASALA 50G,18,20,15
AACHI GONGURA PICKLE 200G,71.5,75,1
AACHI GRAM FLOUR 200GM,31,34,21
AACHI GRAM FLOUR 500GM,77,83,13
AACHI GREEN CHILLI PICKLE 200G,71.5,75,0
AACHI GREEN CHILLI PICKLE 60G,9.83,10,25
AACHI GULAB JAMUM MIX 100GM(1+1),58,60,0
AACHI GULAB JAMUN MIX 200GM(1+1),120,130,10
AACHI HEALTH MIX 200G,130,140,10
AACHI HEALTH MIX 500G,237,250,16
AACHI HYDERABAD BASMATHI BIRYANI 125-/,123,125,2
AACHI IDLY CHILLI POWDER 100G,30.5,34,27
AACHI IDLY CHILLI POWDER 200G,60,65,1
AACHI IDLY CHILLI POWDER 50G,16,18,19
AACHI JALJEERA 50G,25,26,1
AACHI KASHMIRI CHILLI POWDER 100G,60,66,13
AACHI KASHMIRI CHILLI POWDER 50G,31,34,23
AACHI KASTHURI METHI 50G,43,46,2
AACHI KITCHEN KING MASALA 50G,27,30,3
AACHI KOZHUKATTAI FLOUR 500G,43,46,0
AACHI KULAMBU CHILLI MASALA 100G,32,36,94
AACHI KULAMBU CHILLI MASALA 1KG,300,380,0
AACHI KULAMBU CHILLI MASALA 200G,65,70,14
AACHI KULAMBU CHILLI MASALA 500G,150,170,19
AACHI KULAMBU CHILLY MASALA 50G,15.5,18,23
AACHI LEMON RICE PASTE 200GM (1+1),80.75,85,7
AACHI LEMON RICE POWDER 50G,20,26,33
AACHI LIME PICKLE 100G,19.5,20,0
AACHI LIME PICKLE 200GM(1+1),71.25,75,46
AACHI LIME PICKLE 300GM,76,80,7
AACHI LIME PICKLE 500G,87,90,2
AACHI LIME PICKLE 60G,9.83,10,12
AACHI MADRAS SAMBAR POWDER 100G,42,47,0
AACHI MADRAS SAMBAR POWDER 50G,23,25,14
AACHI MANGO AVAKKAI PICKLE 100G,19,20,1
AACHI MANGO AVAKKAI PICKLE 300G,69,70,0
AACHI MANGO AVAKKAI PICKLE 60G,9.83,10,22
AACHI MANGO GINGER PICKLE 200GM(1+1),71.25,75,6
AACHI MANGO THOKKU 100G,19,20,0
AACHI MANGO THOKKU 500GM,85,90,0
AACHI MANGO THOKKU PICKLE 200GM(1+1),71.25,75,50
AACHI MANGO THOKKU PICKLE 60G,9.83,10,19
AACHI MIXED FRUIT JAM 100G,24,25,19
AACHI MIXED FRUIT JAM 200G,86,90,8
AACHI MIXED FRUIT JAM 450G,165,175,5
AACHI MIXED VEGETABLE PICKLE 10/-,9.83,10,2
AACHI MIXED VEGETABLE PICKLE 200GM(1+1),71.5,75,31
AACHI MURRUKKU MIX 200G,42,45,3
AACHI MURRUKKU MIX 500G,68,70,0
AACHI MUSHROOM MASALA 50G,28.5,30,0
AACHI MUTTON MASALA 100G,50,58,10
AACHI MUTTON MASALA 50G,27,30,19
AACHI NATTUKOZHI MASALA 50GM,23,25,2
AACHI ORIGINAL FRIED RICE 20G,9.5,10,30
AACHI PANEER BUTTER MASALA 50G,27,30,0
AACHI PANEER TIKKA MASALA 50G,28,30,5
AACHI PANI PURI KIT 155G,38,40,6
AACHI PANI PURI KIT 310G,59,60,3
AACHI PANI PURI MASALA 50G,29,30,0
AACHI PAV BHAJI MASALA 50G,33,34,0
AACHI PAYASAM MIX 100G,48,50,13
AACHI PAYASAM MIX 200G,68,70,26
AACHI PAYASAM MIX 200G(FREE BAJI BONDA POWDER 200),83,85,9
AACHI PEPPER CHICKEN MASALA 50G,37.5,42,9
AACHI PEPPER POWDER 100G,85,95,12
AACHI PEPPER POWDER 50G,55,60,25
AACHI PICKLE MASALA 100G,33.25,35,3
AACHI PUDHINA THOKKU RICE PASTE 200G(1+1),80.75,85,14
AACHI PULIOTHARAI POWDER 10/-,9.83,10,2
AACHI PULIYOTHARAI RICE PASTE 200GM,80.75,85,3
AACHI PUTTU POWDER 500G,45.6,48,11
AACHI RAGI FLOUR 500G,35,37,15
AACHI RAGI VERMICELLI 180G,19,20,39
AACHI RASAM POWDER 100G,54,58,2
AACHI RASAM POWDER 50G,27,30,24
AACHI RAVA DOSA MIX 200G,47,50,8
AACHI RAVA IDLY MIX 200G,47,50,4
AACHI RAVA KESARI MIX 200G,48,50,0
AACHI RAVA UPUMA MIX 200G,48,50,4
AACHI SAMBA BROKEN WHEAT 500G,90,95,0
AACHI SAMBAR POWDER 100G,39,47,27
AACHI SAMBAR POWDER 200G,75,92,3
AACHI SAMBAR POWDER 50G,22.5,25,42
AACHI SOMBU POWDER 50G,17,18,22
AACHI SUKKU COFFEE 50G,23,25,19
AACHI SUKKU MALLI COFFEE 100G,48,50,4
AACHI SUKKU MALLI COFFEE 200G JAR,90,95,0
AACHI SZECHWAN FRIED RICE 20G,9.5,10,18
AACHI TAMARIND POWDER 50G,23,26,128
AACHI TANDOORI CHICKEN MASALA 50G,35,37,3
AACHI TOMATO GARLIC RICE PASTE 200G(1+1),80.75,85,13
AACHI TOMATO PICKLE 200GM(1+1),71.25,75,18
AACHI TOMATO PICKLE 300G,76,80,0
AACHI TOMATO PICKLE 60G,9.83,10,17
AACHI TOMATO RICE PASTE 200G,80.75,85,13
AACHI TOMATO RICE POWDER 50G,18,20,4
AACHI TURMERIC  POWDER 50GMS,12,13,33
AACHI TURMERIC POWDER 100GMS,22,29,51
AACHI TURMERIC POWDER 200G,55,72,22
AACHI TURMERIC POWDER 500GMS,120,148,9
AACHI TURMERIC POWDER 50G,11,19,84
AACHI VATHA KULAMBU MASALA 50G,25,28,8
AACHI VATHA KULAMBU RICE PASTE 200G(1+1),80.75,85,23
AACHI VERMICELLI 150G,14.75,15,0
AACHI VERMICELLI 400G,37,38,0
AACHI VERMICELLI 925GMS,120,125,0
AADHAVAN BAJRA FLOUR 500G,35,37,0
AADHAVAN MILLET HEALTH MIX 500G,230,240,6
AADHAVAN MILLET HEALTH ROASTED GRAINS 1KGS,212,220,6
AADHAVAN NATURAL CANE SUGAR 500G,55,60,0
AADHAVAN RAGI FLOUR 500G,35,37,4
AADHAVAN RICE FLOUR 500G,35,37,5
AAKAA BAJJI BONDA POWDER 180G,28,32,10
AAKAA GRAM FLOUR 200G,25,29,0
AAKAA GRAM FLOUR 500G,60,66,0
AAKAA RAGI PUTTU FLOUR 450G,71,72,0
AAKAA RAVA DOSAI FLOUR 450G,70,72,0
AAKAA RED RICE PUTTU FLOUR 450G,77,80,3
AAKAA WHITE PUTTU FLOUR 450G,77,80,3
AAPLE SPARKLE POP MINUTE MAID 250ML,14,15,28
AASHIRVAAD 2KG,105,109,0
AASHIRVAAD ATTA 2KG,105,109,0
AASHIRVAAD ATTA 5KG,255,270,13
AASHIRVAAD GHEE 1L,674,694,9
AASIRVAAD AATA 5KG,255,278,0
AASIRVAAD ATTA 10KG,455,490,0
AASIRVAAD ATTA 1KG,57,59,0
AASIRVAAD ATTA 500G,29.5,31,28
AASIRVAAD RICE IDLI INSTANT MIX 200G,49,50,22
AAVIN BUTTER COOKIES 80G,34,35,3
AAVIN CHOCO COOKIES 80G,34,35,0
AAVIN COOKING BUTTER 100G,51,52,1
AAVIN COOKING BUTTER 500G,245,250,0
AAVIN CURD 200ML,14,14,0
AAVIN CURD 500ML,27,27,0
AAVIN CURD CUP 200ML,22,22,0
AAVIN GHEE 1000ML,500,515,5
AAVIN GHEE 200ML,108,110,4
AAVIN GHEE 200ML JR,113,115,20
AAVIN GHEE 500ML,262,265,0
AAVIN GHEE 500ML JAR,260,265,48
AAVIN PANNEER 200GM,85,85,0
AAVIN SALT COOKIES 80G,34.5,35,0
AAVIN TABLE BUTTER 100G,51,52,11
ACHU VELLAM 1KG,80,90,3
ACHU VELLAM 250G,23,25,1
ACHU VELLAM 500G,40,50,59
ACHU VELLAM BULK,80,90,42
ACI II CLASSIC SALTED COMBO,54,72,2
ACI II GOLDEN SIZZLE 41G,9.83,10,269
ACI II GOLDEN SIZZLE COMBO,54,72,2
ACI II MAGIC BUTTER 41G,9.83,10,18
ACI II MAGICAL POPCORN TUB NATU,88,90,0
ACI II MOVIE TANDOORI TADKA 70G,32,33,25
ACI II MOVIE THEATRE BUTTER 70G,32,33,14
"ACI II NACHOZ SALT,CHEESE,TOMATO",34,35,4
ACI II PERI PERI 59G,29,30,0
ACI II SPICY PUDINA PC,19.5,20,3
ACI II SWEET CORN CHANA MASALA,21,22,5
ACI II SWEET CORN PERI PERI,24.5,25,7
ACI II SWEET SALTY POPCORN 20/-,24,25,3
ACI II TOMATO CHILLI POPCORN,24,25,13
ACP GRAM FLOUR 500G,40,50,0
ACT 11 BUTTER GARLIC,32,33,7
ACT II BUTTER DELITE 70G,32,33,30
ACT II BUTTER PEPPER 70G,32,33,3
ACT II BUTTER POPCORN 20/-,24,25,15
ACT II BUTTER POPCORN 25/,24,25,0
ACT II CARAMEL BLISS POPCORN 10/-,9.83,10,0
ACT II CHEESE BAKES,39,40,7
ACT II CHILLI SURPRICE 10/-,9.83,10,57
ACT II CLASIC SALTED 75G,19.5,20,15
ACT II CLASIC SALTED FAMILY PACK,32,33,1
ACT II GOLDEN SIZZLE FAMILY PACK,32,33,1
ACT II GOLDEN SIZZLE RS20,19.5,20,1
ACT II NACHOZ GREEN MANGO SALSA 30/-,24,25,1
ACT II NACHOZ PERI PERI 30/-,29,30,0
ACT II P SP H R  CREAMY 462G,212,215,2
ACT II P SP H R CRUNCHY 462G,212,215,0
ACT II SALTED POPCORN 50G,19.5,20,8
ACT II TOMATO CHILLI 50G,29,30,1
ACT II XTREME BUTTER 70G,32,33,16
ACTII BUTTER DELITE 450G,115,120,1
ACTII CLASSIC SALTED 225G,64,65,1
ACTII CLASSIC SALTED 41G,9.83,10,55
ACTII SOU SPICE 70G,32,33,21
ACTII THEATRE BUTTER 450G,118,120,0
AD JASMINE POOJA OIL 500ML,145,150,2
AD ROSE POOJA OIL 500ML,145,150,1
AD SANDAL POOJA OIL 500ML,145,150,2
AG BANSURI 10/-,9.83,10,4
AG BANSURI 50/-,49,50,13
AG LIA ASSORT 10/-,9.83,10,17
AG LIA ASSORT 15/-,14.5,15,10
AG LIA ASSORT 30/-,28,30,16
AG LIA COME JASMINE 15/-,14.5,15,28
AG LIA COMET 20/-,19.5,20,0
AG LIA JASMINE 100/-,98,100,0
AG LIA JASMINE 50/-,49,50,12
AG LIA LAVENDER 50/-,49,50,2
AG LIA RAINBOW 50/-,49,50,8
AG LIA RHYTME AMBER 30/,29.5,30,8
AG LIA RHYTME AMBER 55/-,53,55,30
AG LIA ROSE 50/-,48,50,3
AG LIA SANDAL 100/-,95,100,0
AG LIA SANDAL 50/-,48,50,8
AG NEIVEDYA 32/-,30,32,18
AG NEVIVEDYA 72/-,68,72,23
AG RHYTME AMBER 10/-,9.83,10,30
AG RHYTME BEATS 10/-,9.83,10,2
AG RHYTME BEATS 50/-,49,50,0
AG RHYTME CONE AMBER 10/-,9.83,10,5
AG RHYTME CONE ORIENTAL 10/-,9.83,10,22
AG RHYTME ORIE 55/-,53,55,0
AG RHYTME ORIENTAL 10/-,9.83,10,1
AG VASU LOBHAN 12/-,11,12,36
AG WOODS 150/-,145,150,4
AG WOODS 75/-,73,75,4
AIR WICK IN AROK RS FR SP245ML,160,161,3
AIR WICK IN HM LL FR SP245ML,140,149,2
AIR WICK IN HM MN CW ALO FR SP245ML,140,149,3
AIR WICK IN MAD IN CM FR SP245ML,140,149,0
AIR WICK IN NN LOB FR SP245ML,140,149,2
AIRWICK CITRUS SPLASH AIR FRESHNER 50G,69,70,8
AIRWICK FRESHMATCH FLOWER LS SP 250ML,308,310,0
AIRWICK FRESHMATCH HILLS LAVENDER,540,550,0
AIRWICK FRESHMATCH HMLL SP 250ML,308,310,0
AIRWICK LAVENDER AIR FRESHNER 50G,68,69,5
AIRWICK LS TURQU OA SP 250ML,308,310,1
AIRWICK MORNING ROSE DEW AIR FRESHNER 50G,68,69,7
AIRWICK NAGPUR LEMON AND ORANCE SP 250ML,540,550,0
AIRWICK ORANGE SP 250ML,306,310,0
AIRWICK SC ARO KA RS 250ML,308,310,0
AIRWICK SD FMV SP 250ML,308,310,0
AJANTHA PAKKU,2,2,119
AJANTHA PAKKU 1/-,1,1,90
AJAY 102 PRO CARE BRUSH,56,60,12
AJAY 107 OFFER BRUSH 49/-,48,49,10
AJAY 107 PK BRUSH 20/-,19,20,9
AJAY 108 BRUSH 25/-,24,25,10
AJAY 121 BRUSH 16/-,15,16,3
AJAY 251 WITH S BRUSH,54,55,8
AJAY BABY BRUSH 18/-,17,18,16
AJAY HARD BRUSH 22/-,21,22,5
AJAY JUNIOR BRUSH 12,11,12,16
AJAY JUNIOR BRUSH 20/-,19,20,12
AJAY MEDIUM BRUSH 22/-,21,22,30
AJAY PRIME TOOTH BRUSH 30/-,29,30,14
AJAY SENSITIVE B2G1 BURSH,78,80,8
AJAY SHAVING BRUSH 40/-,39,40,8
AJAY SOFT BRUSH 22/-,21,22,24
AJAY ULTRA SOFT BRUSH,39,40,17
AJINO MOTO 100G,40,42,9
AJINO MOTO 500G VEWON,80,110,4
AJINO MOTO 50GM,17,19,11
AJWA ANDHRA MURUKKU,40,42,1
AJWA BUTTER SEV,40,42,0
AJWA GARLIC MURUKKU,40,42,4
AJWA KARA SEV,40,42,0
AJWA MINI BUTTER MURUKKU,40,42,1
AJWA ONION MURUKKU,40,42,1
AJWA PEPPER SEV,40,42,0
AJWA ROLL MURUKKU,40,42,1
AJWA ROLL THATTAI,40,42,4
AJWA SOUTH INDIAN SNACKS,40,42,4
AJWA SPICY THUKKADA,40,42,1
AKROOT 250G,150,210,4
AKROOT 250G OLD,150,210,27
AKROOT BULK,600,700,0.75
AKSHAA BROWN RICE 500GM,70,75,5
AKSHAA COCONUT OIL 1LTR,335,425,6
AKSHAA COCONUT OIL 500ML,180,225,6
AKSHAA GROUNDNUT OIL 1LTR,230,285,5
AKSHAA GROUNDNUT OIL 500ML,125,155,6
AKSHAA HEALTH MIX 250GM 1+1,104.5,110,3
AKSHAA HEALTH MIX 500GM 1+1,215,230,4
AKSHAA KAMBU 500GM,28,30,20
AKSHAA KARUPPU KAVUNI RICE 500G,123.5,130,16
AKSHAA KUTHIRAIVALI 500GM,110,120,18
AKSHAA MAPILLAI SAMBA RICE 500G,75,80,10
AKSHAA MILLET APPALAM 100G,45,55,25
AKSHAA MILLET APPALAM 150G,60,70,16
AKSHAA MILLET APPALAM 200G,75,90,1
AKSHAA MILLET APPALAM 50G,28,35,20
AKSHAA MILLET SATHU MAAVU,49,50,6
AKSHAA PANI VARAGU 500GM,76,80,15
AKSHAA RAGI 500GM,47,48,3
AKSHAA SAMAI 500GM,76,80,21
AKSHAA SESAME OIL 1LTR,360,445,5
AKSHAA SESAME OIL 500ML,189,235,6
AKSHAA THINAI 500GM,61.75,65,12
AKSHAA VARAGU 500GM,73,77,23
AKSHAL NATURAL ALOE VERA CUCUMBER,90,100,5
AKSHAL NATURAL CHARCOL SOAP 100G,125,151,5
AKSHAL NATURAL COFFEE SOAP 100G,135,172,6
AKSHAL NATURAL FRENCH RED CLAY BEET 100G,110,123,6
AKSHAL NATURAL GOAT MILK HONEY SOAP 100G,145,190,6
AKSHAL NATURAL HERBAL SOAP 100GM,103,114,6
AKSHAL NATURAL MULTANI MITTI SANDAL,90,100,5
AKSHAL NATURAL NEEM SOAP,79,88,6
AKSHAL NATURAL ORANGE SOAP 100G,90,100,3
AKSHAL NATURAL RICH LAVENDER 100G,120,136,6
AKSHAL NATURAL ROSE SOAP 100G,120,136,5
ALICE ABCD APPALAM 100G,16,18,1
ALICE APPALAM 100G,45,55,12
ALICE BANANA CAKE,34,35,4
ALICE CARROT CAKE,44,45,4
ALICE DISCO APPALAM 100G,25,27,12
ALICE DISCO STAR APPALAM 100G,36,38,3
ALICE LADIES FINGER VATHAL 100GM,37,40,0
ALICE LAYS PAPADS 100GMS,42,45,2
ALICE MACRONI NOODLES 200GM,37,40,0
ALICE ONION VADAGAM,62,66,8
ALICE PAPAD GARLIC RING 100G,19,20,4
ALICE PAPAD GOLD FINGER  PLAIN 100G,17,20,7
ALICE PAPAD GOLD FINGER COLOUR 100G,17,18,9
ALICE PAPAD GOLD FINGER SMALL 100G,17,18,0
ALICE PAPAD GOLD FINGER WHEEL 100G,17,18,3
ALICE PAPAD SPL GINGER VADAM 100G,29,30,3
ALICE POTATO CORN VADAM 100GM,36,38,2
ALICE RICE APPALAM 200G,80,93,3
ALICE RICE MIX PAPADS 100GM,33,35,6
ALICE ROUND APPALAM 100G,52,55,11
ALICE SAGO RED CHILLI VADAM,43,45,4
ALICE SPL GINGER VADAM 100G,43,45,1
ALL IN ONE 150G,33,35,1
