Item Name,GST Tax Desc,GST code,HSN code,Cost,Selling,M.R.P,Total Stock
JB CHOCO CHIPS WHITE 100G,GST 18%,5005,,68.61,94,96,3
LAYS CHEESY LOVE 20/-,GST 12%,5004,210690,18.18,19.5,20,0
HANGROW GOLDEN CORN 150G,GST 5%,5003,210690,71.25,88,90,3
HANGROW ANCIENT GRAINS 150G,GST 5%,5003,210690,71.25,88,90,3
HANGROW CHEESE MAGIC 150G,GST 5%,5003,210690,75,88,90,11
HANGROW TOMATO CHILLI 150G,GST 5%,5003,210690,75,88,90,6
HANGROW CHAT MASALA 150G,GST 5%,5003,210690,75,88,90,4
HANGROW LIME N LEMON 150G,GST 5%,5003,210690,75,88,90,9
TOO YUMM KARARE CHILLI ACHARI RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE MUNCHY RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE NOODLE RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE CHAAI RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE TOMATO RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE TIKKA RS.10,GST 12%,5004,21069099,8.21,9.83,10,0
TOO YUMM KARARE CHILLI CHAT RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM VEGGI STIX TOMATO RS.10,GST 12%,5004,21069099,8.87,9.83,10,0
TOO YUMM KARARE ONION RS.10,GST 12%,5004,21069099,8.87,9.83,10,5
TOO YUMM MULTIGRAINS TANGY TOMATO RS.20,GST 12%,5004,21069099,17.2,19.5,20,0
TOO YUMM VEGGI CHILI CHAT RS.20,GST 12%,5004,21069099,17.33,19.5,20,0
TOO YUMM KARARE NOODLE CHATRS.20,GST 12%,5004,21069099,14.63,19,20,0
ACTII CLASSIC SALTED 41G,GST 12%,5004,,8.93,9.83,10,67
ACI II MAGIC BUTTER 41G,GST 12%,5004,,8.93,9.83,10,27
ACI II PERI PERI 59G,GST 12%,5004,,26.51,29,30,0
ACI II GOLDEN SIZZLE 41G,GST 12%,5004,,8.93,9.83,10,275
ACI II MOVIE THEATRE BUTTER 70G,GST 12%,5004,,29.46,32,33,14
ACI II MOVIE TANDOORI TADKA 70G,GST 12%,5004,,30.16,32,33,26
ACI II MAGICAL POPCORN TUB NATU,GST 12%,5004,,81.18,88,90,0
ACI II SWEET CORN CHANA MASALA,GST 12%,5004,2005,19.63,21,22,7
ACI II SPICY PUDINA PC,GST 18%,5005,,17.46,19.5,20,3
ACI II TOMATO CHILLI POPCORN,GST 18%,5005,,21.92,24,25,13
SUN DROP SUPERLITE AD 1L,GST 5%,5003,,204.76,210,215,25
SUN DROP HEART 1L,GST 5%,5003,,190.48,191,200,8
SUN DROP HEART 3L JAR,GST 5%,5003,,422.85,444,644,1
"ACI II NACHOZ SALT,CHEESE,TOMATO",GST 12%,5004,,31.82,34,35,4
LAYS HOT SWEET CHILLI 28G,GST 12%,5004,210690,8.64,9.83,10,126
CHEETOS CHEESE PUFFS 30G,GST 12%,5004,210690,8.64,9.83,10,21
CHEETOS MASALA BALLS 30G,GST 12%,5004,210690,8.64,9.83,10,25
KURKURE GREEN CHUTNEY STYLE 45G,GST 12%,5004,210690,9.09,9.83,10,18
KURKURE MASALA MUNCH 47G,GST 0% Tax,5001,210690,8.5,9.83,10,7
KURKURE NAUGHTY TOMATO 45G,GST 12%,5004,210690,9.09,9.83,10,24
KURKURE PUFFCORN YUMMY CHEESE 28G,GST 12%,5004,210690,8.64,9.83,10,36
KURKURE CHILLI CHATKA 45G,GST 12%,5004,210690,9.09,9.83,10,5
LAYS MOCHA CHILLI 28G,GST 12%,5004,210690,9.09,9.83,10,27
LAYS MAX MACHO CHILLI 22.5G,GST 12%,5004,210690,9.09,9.83,10,28
LAYS CA CREAM AND ONION 28G,GST 0% Tax,5001,210690,8.6,9.83,10,58
LAYS CLASSIC SALT 28G,GST 12%,5004,210690,8.82,9.83,10,42
LAYS SPANISH TOMATO TANGO 28G,GST 12%,5004,210690,9.09,9.83,10,54
DORITOS SWEET CHILLI 44G,GST 12%,5004,210690,18.18,19.5,20,4
DORITOS NACHO CHEESE 44G,GST 12%,5004,210690,18.18,19.5,20,3
KURKURE MASALA MUNCH 90G,GST 12%,5004,210690,17.82,19.5,20,39
KURKURE NAUGHTY TOMATO 90G,GST 12%,5004,210690,17.2,19.5,20,21
LAYS CREAM ONION FLAVOUR 52G,GST 12%,5004,210690,17.45,19.5,20,30
LAYS HOT SWEET CHILLI 52G,GST 12%,5004,210690,18.18,19.5,20,48
LAYS TOMATO TA 52G,GST 12%,5004,210690,18.18,19.5,20,46
LAYS MAX SIZ BAR 36G,GST 12%,5004,210690,18.18,19.5,20,5
DORITOS NACHO CHEESE 75G,GST 12%,5004,210690,27.27,29,30,19
DORITOS SWEET CHILLI 75G,GST 12%,5004,210690,27.27,29,30,2
LAYS MAX SIZ BAR 63G,GST 12%,5004,210690,31.82,34,35,2
LAYS TOMATO TA 90G,GST 12%,5004,210690,27.27,29,30,12
LAYS CREAM ONION 90G,GST 12%,5004,210690,31.82,34,35,24
KELLOGGS CORN HONEY 125G,GST 18%,5005,19041010,50,53,55,0
KELLOGGS CORN HONEY 300G,GST 18%,5005,19041010,127.27,138,140,3
KELLOGGS CORN HONEY 630G,GST 18%,5005,19041010,263.64,288,290,1
KELLOGGS SPL PROTEIN FIB 445G,GST 18%,5005,19041090,180.9,194,199,0
PRINGLES DESI MAS 107G,GST 18%,5005,19059090,96.13,107,109,12
PRINGLES POTATO ORI 107G,GST 18%,5005,19059090,79.83,98,99,28
PRINGLES PERI PERI 107G,GST 18%,5005,19059090,96.13,107,109,6
PRINGLES ONION 107G,GST 18%,5005,19059090,96.13,107,109,2
PRINGLES CHUTNEY 107G,GST 18%,5005,19059090,79.83,98,99,3
PRINGLES PIZZA 107G,GST 18%,5005,19059090,96.13,107,109,11
KELLOGGS STRAWBERRY CORN 300G,GST 18%,5005,19041010,127.27,138,140,3
KELLOGGS STRAWBERRY CORN 575G,GST 18%,5005,19041010,249.99,272,275,3
KELLOGGS MULTI OATS HONEY 435G,GST 18%,5005,19041090,180.9,195,199,0
KELLOGGS ALL BRAN WHEAT 425G,GST 18%,5005,19041090,186.37,200,205,1
BINGO MAD ANGLES PERI PERI 40G,GST 12%,5004,2106,8.96,9.83,10,61
BINGO MAD ANGLES TOMATO 40G,GST 12%,5004,2106,8.96,9.83,10,17
BINGO POTATO CHIPS CHILLI 28G,GST 12%,5004,2106,8.84,9.83,10,13
BINGO POTATO CHIPS SALT28G,GST 12%,5004,2106,8.87,9.83,10,3
BINGO POTATO CHIPS ONION 28G,GST 12%,5004,2106,8.68,9.83,10,59
BINGO MAD ANGLES TOMATO 80G,GST 12%,5004,2106,18.12,19.5,20,24
BINGO POTATO CHIPS ONION 52G,GST 12%,5004,2106,18.29,19.5,20,44
BINGO MAD ANGLES MASALA 80G,GST 0% Tax,5001,2106,14.63,19,20,0
BINGO MAD ANGLES PERI PERI 80G,GST 12%,5004,2106,18.29,19.5,20,47
BINGO POTATO CHIPS MASALA 52G,GST 12%,5004,2106,18.12,19.5,20,94
BINGO MAD ANGLES MASALA 52G,GST 12%,5004,2106,18.29,19.5,20,0
BINGO POTATO CHIPS MASALA 25G,GST 12%,5004,2106,9.01,9.83,10,16
BINGO MAD ANGLES MASTI 80G,GST 12%,5004,2106,18.29,19.5,20,23
K S SNACKS RS.70/-,GST 0% Tax,5001,,40,58,70,0
K S SNACKS RS.22/-,GST 0% Tax,5001,,9,16,22,0
K S SNACKS RS.25/-,GST 0% Tax,5001,,16,24,25,0
TT SNACKS RS.70/-,GST 0% Tax,5001,,37,55,70,16
UPPU KADALAI  250G,GST Exempted Tax,5002,,22.5,37,42,0
M M SNACKS,GST 0% Tax,5001,,22.5,30,35,1
M M SNACKS.30/-,GST 0% Tax,5001,,18,28,30,7
M M SNACKS.35/-,GST 0% Tax,5001,,21,33,35,23
M M SNACKS.25/-,GST 0% Tax,5001,,16,23,25,8
M M SNACKS.20/-,GST 0% Tax,5001,,15,18,20,11
M M SNACKS 36/-,GST 0% Tax,5001,,25,34,36,3
M M SNACKS 15/-,GST 0% Tax,5001,,8,13,15,1
RAJAS MASALA PORI,GST 0% Tax,5001,,30,38,40,0
MASAALA TAPICO CHIP 150G,GST 12%,5004,20081940,48.75,63,65,0
DEV THATTA 150G,GST 12%,5004,21069099,52.49,68,70,5
DEV ACHAPPAM,GST 12%,5004,21069099,52.49,68,70,3
DEV TAPIOCA STICK 175G,GST 12%,5004,20081940,52.49,68,70,1
DEV BANANA CHIPS 175G,GST 12%,5004,2008,71.25,93,95,1
DEV BUTTER MURUKKU 350G,GST 12%,5004,21069099,71.25,90,95,0
KIRUBAI SNACKS 25/-,GST 5%,5003,,20,23,25,0
KIRUBAI SNACKS 45/-/-,GST 5%,5003,,33,43,45,0
KIRUBAI SNACKS 60/-/-,GST 0% Tax,5001,,45,55,60,0
RAJAS PORI 20/-,GST 0% Tax,5001,,15,18,20,1
ALU BHUJIA 175G,GST 12%,5004,21069099,34.18,39,40,4
ALU BHUJIA 400G,GST 12%,5004,21069099,75.22,86,88,11
ALU BHUJIA 55G,GST 12%,5004,21069099,8.55,9.75,10,26
BHUJIA SEV 150G,GST 12%,5004,21069099,30.43,34,35,0
BHUJIA SEV 350G,GST 12%,5004,21069099,69.56,78,80,0
BOONDHI 40G,GST 12%,5004,21069099,8.55,9.83,10,13
BHUJIA SEV 40G,GST 12%,5004,21069099,8.55,9.75,10,24
KHATTA MEETHA 60G,GST 12%,5004,21069099,8.55,9.83,10,7
KHATTA MEETHA 175G,GST 12%,5004,21069099,29.92,34,35,21
