Item Name,MFR Name,Selling,M.R.P,Total Stock
A ONE DISHWASH BAR 250G,MFR,31,32,28
A ONE DISHWASH BAR 5/-,MFR,5,5,174
A ONE DISHWASH BAR 500G,MFR,58,60,28
A ONE STAINLESS STEEL SCRUBBER 15/-,MFR,14.5,15,11
A1 MULTIGRAIN GRAM FLOUR 500G,MFR,69,70,0
A1 RICE FLOUR 500G,MFR,39,40,0
A2B ALU BHUJIA 10/-,MFR,9.8,10,4
A2B ANDHARA MURUKKU 200GM,MFR,75,80,1
A2B ANDHRA MURUKKU,MFR,44,45,2
A2B ANDHRA MURUKKU 100G,MFR,44,45,4
A2B ANDHRA MURUKKU 40G,MFR,20,20,3
A2B BADAM HALWA,MFR,63,65,3
A2B BANANA CHIPS 100G,MFR,58,60,7
A2B BANANA CHIPS CRUNCHY PERI PERI,MFR,19.5,20,4
A2B BANANA CHIPS ONION,MFR,19.5,20,4
A2B BITTER GOURD CHIPS 100G,MFR,44,45,0
A2B BUTTER MURUKKU 100G,MFR,85,90,14
A2B BUTTER MURUKU 100G,MFR,44,45,7
A2B CHEESE BALLS 50G,MFR,20,20,6
A2B CORN BALLS 35G,MFR,9.8,10,6
A2B CORN CHEESE BOLLS 35G,MFR,9.8,10,5
A2B CORN FLAKES,MFR,19.5,20,4
A2B CORN RINGS 35G,MFR,9.8,10,0
A2B COW GHEE 200ML,MFR,178,180,0
A2B DAL MIXTURE 200G,MFR,85,90,10
A2B DAL MIXTURE 40G,MFR,10,10,6
A2B GULAB JAMUN 500GM,MFR,118,120,5
A2B HAND MURUKKU,MFR,80,85,4
A2B IDLY DOSA PODI,MFR,29,30,1
A2B KARABUNDHI,MFR,19.5,20,13
A2B MADRAS MIXTURE 10/-,MFR,9.8,10,11
A2B MADRAS MIXTURE 100G,MFR,48,50,15
A2B MADRAS MIXTURE 200G,MFR,80,85,0
A2B MADRAS MIXTURE 70G,MFR,19.5,20,9
A2B MASALA CHIPS 10/-,MFR,9.8,10,4
A2B MASALA MOONG DAL 10/-,MFR,9.8,10,6
A2B MASALA PEANUT 10/-,MFR,9.8,10,19
A2B MASALA PEANUT 70G,MFR,20,20,5
A2B MINI MURUKKU,MFR,19.5,20,10
